# t, x, y, z, qx, qy, qz
3.22, 0.0, 0.0, 0., 0., 0., 0.04342408561161971
3.23, 0.0, 0.0, 0., 0., 0., 0.04018698178985276
3.24, 0.0, 0.0, 0., 0., 0., 0.036791187154009246
3.25, 0.0, 0.0, 0., 0., 0., 0.033249614123571934
3.2600000000000002, 0.0, 0.0, 0., 0., 0., 0.029575769632445233
3.27, 0.0, 0.0, 0., 0., 0., 0.02578371828542517
3.2800000000000002, 0.0, 0.0, 0., 0., 0., 0.02188804220061681
3.29, 0.0, 0.0, 0., 0., 0., 0.01790379715743957
3.3000000000000003, 0.0, 0.0, 0., 0., 0., 0.013846464728058627
3.31, 0.0, 0.0, 0., 0., 0., 0.0097319001478262
3.3200000000000003, 0.0, 0.0, 0., 0., 0., 0.005576275776496607
3.33, 0.0, 0.0, 0., 0., 0., 0.0013960201146175934
3.34, 0.0, 0.0, 0., 0., 0., -0.0027922475342821323
3.35, 0.0, 0.0, 0., 0., 0., -0.006971786529079215
3.36, 0.0, 0.0, 0., 0., 0., -0.011125808116293474
3.37, 0.0, 0.0, 0., 0., 0., -0.015237551906627435
3.38, 0.0, 0.0, 0., 0., 0., -0.01929036495963227
3.39, 0.0, 0.0, 0., 0., 0., -0.023267782711062574
3.4, 0.0, 0.0, 0., 0., 0., -0.027153610907916428
3.41, 0.0, 0.0, 0., 0., 0., -0.030932007361123587
3.42, 0.0, 0.0, 0., 0., 0., -0.0345875632368385
3.43, 0.0, 0.0, 0., 0., 0., -0.0381053816626386
3.44, 0.0, 0.0, 0., 0., 0., -0.04147115384542602
3.45, 0.0, 0.0, 0., 0., 0., -0.044671231020936876
3.46, 0.0, 0.0, 0., 0., 0., -0.047692691597779766
3.47, 0.0, 0.0, 0., 0., 0., -0.050523402693480185
3.48, 0.0, 0.0, 0., 0., 0., -0.05315207542812181
3.49, 0.0, 0.0, 0., 0., 0., -0.05556831349312107
3.5, 0.0, 0.0, 0., 0., 0., -0.05776265467593905
3.5100000000000002, 0.0, 0.0, 0., 0., 0., -0.059726605188940116
3.52, 0.0, 0.0, 0., 0., 0., -0.06145266681501886
3.5300000000000002, 0.0, 0.0, 0., 0., 0., -0.06293435703741608
3.54, 0.0, 0.0, 0., 0., 0., -0.06416622246055166
3.5500000000000003, 0.0, 0.0, 0., 0., 0., -0.06514384594808463
3.56, 0.0, 0.0, 0., 0., 0., -0.06586384800035767
3.5700000000000003, 0.0, 0.0, 0., 0., 0., -0.06632388296388705
3.58, 0.0, 0.0, 0., 0., 0., -0.06652263070983316
3.59, 0.0, 0.0, 0., 0., 0., -0.06645978443687983
3.6, 0.0, 0.0, 0., 0., 0., -0.06613603524807105
3.61, 0.0, 0.0, 0., 0., 0., -0.06555305412312427
3.62, 0.0, 0.0, 0., 0., 0., -0.06471347186034453
3.63, 0.0, 0.0, 0., 0., 0., -0.06362085749865191
3.64, 0.0, 0.0, 0., 0., 0., -0.062279695653728415
3.65, 0.0, 0.0, 0., 0., 0., -0.06069536311622637
3.66, 0.0, 0.0, 0., 0., 0., -0.05887410496760596
3.67, 0.0, 0.0, 0., 0., 0., -0.05682301037356087
3.68, 0.0, 0.0, 0., 0., 0., -0.05454998811899721
3.69, 0.0, 0.0, 0., 0., 0., -0.05206374185481845
3.7, 0.0, 0.0, 0., 0., 0., -0.04937374493774907
3.71, 0.0, 0.0, 0., 0., 0., -0.04649021466237837
3.72, 0.0, 0.0, 0., 0., 0., -0.043424085611619784
3.73, 0.0, 0.0, 0., 0., 0., -0.040186981789852826
3.74, 0.0, 0.0, 0., 0., 0., -0.03679118715400929
3.75, 0.0, 0.0, 0., 0., 0., -0.033249614123572184
3.7600000000000002, 0.0, 0.0, 0., 0., 0., -0.029575769632445268
3.77, 0.0, 0.0, 0., 0., 0., -0.025783718285425198
3.7800000000000002, 0.0, 0.0, 0., 0., 0., -0.021888042200616832
3.79, 0.0, 0.0, 0., 0., 0., -0.01790379715743959
3.8000000000000003, 0.0, 0.0, 0., 0., 0., -0.01384646472805864
3.81, 0.0, 0.0, 0., 0., 0., -0.009731900147826213
